"","0","300","600","900","0 | 1","300 | 1","600 | 1","900 | 1","0 | 2","300 | 2","600 | 2","900 | 2","0 | 3","300 | 3","600 | 3","900 | 3"
"degQ",0.32,-0.31,-0.11,0.19,0.13,-0.08,0.32,-0.89,-0.55,-0.49,-0.65,-0.39,0.01,-0.02,0.28,0.1
"degS",-0.01,-0.03,0.02,-0.2,-0.4,-0.44,-0.08,-0.13,-0.25,-0.38,-0.39,-0.3,-0.12,0.02,0.3,0.19
"mdh",-0.3,-0.54,-0.56,-0.63,0.36,0.62,0.22,-0.45,-0.34,-1.06,-1.3,-1.35,-0.48,-0.83,-0.91,-0.95
"argR",0.36,0.47,-0.13,-0.05,0.29,-0.74,0.37,-0.38,-0.11,-0.11,0.32,0.58,0.25,-0.11,0.21,0.09
"yhcN",0.89,0.66,0.79,0.16,0.54,1.51,1.14,0.25,0.03,0.38,0.25,0.11,0.08,-0.19,-0.08,0.08
"yhcO",0.25,-0.59,-0.27,0.39,0.06,0.31,0.7,-0.03,0.03,0.09,-0.07,-0.19,0.45,-0.1,0.16,0.2
"aaeB",-0.1,-0.56,-0.19,0.14,-0.42,0.13,-0.23,-0.34,0.13,0.01,0.11,0.01,0.42,0.22,0.01,0.03
"aaeA",0.2,-0.25,0.19,0.29,-0.22,0.18,0.22,0.48,-0.08,0.41,0.22,0.06,0.44,0.29,0.13,-0.16
"aaeX",0.08,0.07,-0.16,0.2,-0.18,-0.04,0.16,0.25,-0.17,0.11,0.05,-0.06,0.35,-0.07,0.35,0.38
"aaeR",0.09,0.13,0.01,-0.09,-0.44,-0.22,-0.21,-0.38,-0.21,-0.44,-0.37,-0.34,0.48,0.26,0.49,0.26
"tldD",-0.97,-1.57,-1.09,-0.75,-1.08,-1.63,-1.62,-1.71,-0.88,-1.24,-1.15,-1.29,-0.59,-0.78,-0.2,-0.81
"rng",-0.08,-0.19,-0.02,-0.23,-0.19,-0.13,-0.53,-0.38,-0.04,-0.01,-0.24,0.16,-0.07,-0.04,0.41,-0.05
"yhdE",0.27,0.07,-0.3,-0.09,-0.05,0.15,-0.22,-0.62,-0.43,-0.28,-0.06,0.04,-0.53,-0.3,-0.17,0
"mreD",0.45,0.37,0.62,-0.04,-0.18,0.52,0.23,0.06,-0.07,0.02,-0.39,-0.18,0.36,0.25,0.11,-0.13
"mreC",0.82,1.02,0.84,0.09,0.04,0.14,0.67,0.41,-0.04,-0.04,0.01,-0.22,-0.15,0.1,0.4,-0.02
"mreB",0.94,1.04,1.13,0.55,0.43,0.4,0.68,-0.18,-0.27,-0.29,-0.07,0.06,-0.03,-0.04,0.17,-0.04
"csrD",-0.03,-0.34,-0.04,0.16,-0.37,0.07,0.05,-0.7,-0.98,-1.09,-0.82,-0.82,0.05,-0.02,-0.11,-0.1
"yhdH",0.76,0.56,0.63,0.1,0.66,0.88,1.23,-0.02,-0.1,-0.54,-0.59,-0.71,-0.1,0,0.03,0.05
"accB",-0.09,-0.38,-0.58,-0.45,0.01,-1.15,-0.47,-0.35,-0.28,-0.58,-0.5,-0.16,0.3,-0.02,0.13,0
"accC",0.1,-0.34,-0.07,-0.66,-0.15,-0.26,-0.63,-0.52,-0.8,-0.73,-0.71,-0.36,-0.31,-0.15,-0.15,-0.1
"yhdT",0.31,0.07,0.23,0.08,0.28,-0.01,-0.02,0.1,-0.06,0.18,0.09,0.68,0.23,-0.12,-0.23,-0.07
"panF",0.21,-0.16,-0.16,0.43,-0.55,-0.27,-0.22,-0.6,-0.62,-0.42,-0.37,-0.34,0.3,0,0.12,-0.07
"prmA",0.27,0.22,0.09,-0.24,-0.31,-0.42,0.21,-0.53,-0.22,-0.79,-0.17,-0.03,0.06,0.18,0.27,0.1
"dusB",-0.38,-0.11,0.03,-0.84,-0.84,-0.46,-0.48,0.15,-0.65,-0.61,-0.18,0.08,-0.5,-0.29,-0.42,-0.56
"fis",-0.65,0.11,-0.51,0.08,-0.16,-0.67,-0.24,0.13,-0.23,-0.17,0.43,0.15,-0.57,-0.41,-0.39,-0.29
"yhdJ",-0.47,0.09,-0.02,-0.05,0.17,-0.37,-0.62,0.02,0.15,0.13,0.07,0.17,-0.11,-0.15,-0.45,-0.08
"yhdU",-0.1,0.92,-0.15,0.28,-0.12,-0.06,-0.17,0.3,-0.22,-0.02,0.09,0.04,0.45,0.2,0.19,-0.06
"envR",0.11,0.24,-0.23,0.16,-0.06,-0.15,-0.26,0.29,-0.1,0.04,-0.07,0,-0.03,-0.04,-0.07,-0.08
"acrE",-0.08,0.65,-0.02,0.37,0.03,-0.05,-0.13,0.39,-0.1,0.04,-0.06,-0.15,0.25,0.03,0.29,0.26
"acrF",0.06,-0.15,0.04,0.13,-0.12,-0.15,-0.12,-0.33,-0.21,-0.04,-0.19,-0.03,-0.04,0.35,0.4,0
"yhdV",0.78,0.77,0.45,0.22,0.1,0.03,0.53,0.16,0.05,0.17,0.36,0.46,0.06,-0.07,0.07,-0.06
"yhdW",-0.4,-0.26,-0.15,-0.14,-0.26,-0.51,-1.09,2.56,0.12,0.13,-0.03,0.11,-0.06,-0.02,0.01,-0.03
"yhdX",-0.48,0.09,0,-0.18,0.15,-0.17,-0.34,0.17,-0.36,-0.18,0.02,-0.24,0.19,0.06,0.26,0.08
"yhdY",-0.26,0.34,0.03,0,0.29,-0.24,-0.12,0.41,-0.05,-0.06,0.02,-0.05,-0.09,0.06,-0.09,0.14
"yhdZ",-0.14,-0.51,-0.54,-0.07,-0.16,-0.46,-0.38,-0.27,-0.09,-0.05,-0.1,-0.16,-0.02,0.12,-0.14,-0.07
"yrdA",-1.13,-0.61,-0.69,-0.3,-0.45,-0.97,-1.08,-0.24,-0.94,-1.26,-0.98,-0.64,-0.3,-0.19,-0.33,-0.42
"yrdB",-0.88,0.01,-0.15,0.26,0.14,-0.28,-0.35,0.16,-0.89,-1.06,-0.99,-1.03,-0.01,-0.29,-0.48,-0.25
"aroE",-0.72,-0.51,-0.36,-0.26,0.07,-0.38,-0.63,-0.24,-0.29,-0.37,-0.64,-0.21,-0.05,-0.22,-0.02,0.09
"tsaC",-1.02,-0.13,-0.48,-0.51,-0.89,-0.48,-1.53,-0.14,-1.26,-1.29,-1.17,-0.99,0.18,-0.22,-0.24,-0.08
"yrdD",-0.96,-0.89,-0.72,-0.35,-0.97,-0.85,-0.76,-0.61,-0.92,-0.81,-0.57,-0.39,-0.08,-0.09,-0.25,-0.15
"smg",-1.18,-0.25,-0.74,-0.48,-0.61,-0.5,-0.94,-0.07,-1.19,-1.26,-1.02,-0.67,-0.08,-0.49,-0.28,-0.28
"def",0.19,0.07,0.54,0.23,-0.08,0.45,0.32,0.45,0.18,-0.19,-0.23,-0.18,0.05,0.36,0.36,0.49
"fmt",0.36,0.14,0.48,0.02,-0.26,0.48,0.29,-0.66,-0.11,-0.39,-0.6,-0.49,0.4,0.59,0.67,0.56
"rsmB",0.12,-0.4,0.03,-0.13,-0.44,0.55,-0.11,-0.43,-0.19,-0.53,-0.24,-0.4,0.55,0.38,0.46,0.5
"trkA",-0.12,-0.41,-0.8,-0.54,-0.14,-0.16,-0.43,-0.36,-0.62,-0.71,-0.93,-0.78,-0.29,-0.33,-0.23,-0.07
"mscL",0.22,-0.43,-0.24,-0.11,0.78,1.02,0.69,-0.91,0.45,0.32,-0.23,-0.36,-0.32,0,-0.11,0.46
"zntR",-0.31,-0.81,-0.68,-0.23,-0.37,-0.17,-0.67,-0.43,-0.22,-0.14,-0.13,-0.48,-0.1,-0.22,0.11,-0.06
"yhdN",-0.44,-0.5,-0.83,0.03,-0.07,-0.14,-0.38,-0.44,-0.24,-0.1,-0.06,-0.2,-0.19,-0.4,-0.08,0.02
"rplQ",-0.19,-0.03,0.25,-0.72,0.11,-0.01,0.25,-0.09,0.31,0.22,0.17,-0.1,-0.2,-0.14,-0.47,-0.13
"rpoA",-0.04,0.08,-0.2,-0.6,0.13,0.02,0,0.14,0.02,0.01,-0.01,0.01,-0.11,-0.35,-0.02,-0.38
"rpsD",-0.31,-0.24,-0.19,-0.57,-0.41,-0.08,0.15,-0.66,-0.11,0.05,-0.01,0.15,0.1,-0.43,0.42,-0.31
"rpsK",-0.15,-0.22,0.06,-0.56,0.3,0.13,0.35,0.06,0.31,0.31,0.21,0.2,-0.2,-0.36,0.1,-0.31
"rpsM",-0.27,-0.22,-0.26,-0.63,-0.14,0.48,-0.06,-0.29,-0.09,0.03,0.08,-0.31,-0.42,-0.4,-0.18,-0.36
"rpmJ",-0.15,0.02,-0.12,-0.35,-0.05,0.29,0.22,1.92,0.22,0.4,0.19,0.55,-0.31,-0.2,-0.21,-0.17
"secY",-0.01,-0.1,0.13,-0.98,0.08,0.34,0.31,0.07,-0.15,-0.25,0.13,0.24,0.03,-0.01,-0.25,-0.01
"rplO",-0.11,0.18,0.31,-0.61,0.14,0.27,0.54,-0.17,-0.11,0.05,0.09,-0.22,-0.32,-0.21,-0.14,-0.81
"rpmD",-0.22,0.29,-0.07,-0.42,0.26,0.23,0.75,0.37,0.15,0.4,0.36,0.08,-0.37,-0.37,-0.48,-0.33
"rpsE",-0.22,0,-0.14,-0.57,-0.14,0.23,0.28,0,-0.13,0.1,0.25,-0.29,-0.13,-0.41,-0.38,-0.62
"rplF",0.2,0.17,0.27,-0.56,-0.13,0.27,0.14,0.2,0.07,0.06,0.14,0.15,-0.36,-0.63,-0.55,-1.11
"rpsH",-0.17,0,-0.12,-0.12,-0.06,0.59,0.34,0.22,-0.02,0.25,0.26,-0.24,-0.55,-0.84,-0.61,-0.8
"rpsN",0.07,0.3,0.19,-0.53,-0.11,0.11,0.27,-0.49,0.05,-0.01,0.05,-0.49,-0.35,-0.62,-0.25,-0.74
"rplE",0.09,0.22,0.12,-0.44,0.28,0.32,0.54,0.51,0.4,0.35,0.34,0.09,-0.49,-0.5,-0.19,-0.5
"rplN",-0.23,0.02,-0.15,0.04,0.03,0.6,0.43,0.38,0.41,0.68,0.6,-0.31,-0.66,-1.04,-1,-0.59
"rplP",-0.31,0.2,0.04,-0.37,0.02,-0.15,0.76,-0.38,0.17,0.05,0.35,0.19,-0.21,-0.42,-0.13,-0.84
"rpsC",0.26,0.13,0.43,-0.69,0.55,0.02,0.73,0.12,0.33,0.14,0.11,-0.28,-0.18,-0.69,-0.34,-1.11
"rplV",-0.29,0.09,0.13,-0.59,0.16,0.24,0.53,1.31,0.03,0.02,-0.03,-0.33,-0.08,-0.08,-0.09,-0.57
"rpsS",-0.25,0.08,-0.22,-0.47,0.41,0.42,0.47,0.26,0.02,0.13,0.19,-0.57,-0.7,-0.83,-0.71,-0.89
"rplB",-0.17,-0.13,-0.32,-0.64,-0.17,0.1,0.16,-0.3,-0.06,-0.06,0.18,0.03,-0.12,-0.48,-0.64,-0.87
"rplW",-0.45,0.19,-0.24,-0.46,-0.17,0.06,0.4,0.1,0,0.29,0.21,-0.12,-0.64,-1.33,-0.81,-1.11
"rplD",-0.23,-0.07,0.12,-0.7,-0.32,-0.65,-0.47,-0.57,-0.09,0,0.07,0.17,-0.3,-0.32,-0.35,-0.35
"rplC",-0.17,-0.04,0.02,-0.35,-0.33,-0.32,0.24,-0.17,0.01,0.12,-0.05,-0.4,-0.69,-1.12,-0.73,-0.75
"rpsJ",-0.12,0.07,-0.09,-0.75,-0.21,0.16,0.22,-0.28,0,0.24,0.2,0.39,-0.36,-0.57,-0.43,-0.59
"gspB",0.6,0.4,0.37,0.62,-0.03,-0.02,0.53,-0.06,-0.18,0.1,-0.04,-0.04,0.03,-0.28,0.16,0.01
"gspA",0.02,-0.34,-0.27,0.16,-0.14,-0.04,-0.38,-0.22,-0.05,0.02,-0.01,-0.07,0.46,0.04,-0.43,0.01
"gspC",0.39,0.6,0.37,0.2,0.17,0.1,0.32,0.58,0.31,0.5,0.15,-0.02,0.4,0.11,0.02,0.26
"gspD",0,0.11,0.04,0.24,-0.2,0.1,-0.29,-0.34,0.18,0.05,-0.37,0.09,0.4,0.11,-0.1,-0.07
"gspE",0.03,0.19,-0.22,0.17,0.1,0.29,-0.01,0.42,-0.17,0.14,-0.11,-0.28,0.56,0.03,0.11,-0.15
"gspF",0.1,-0.09,0.08,0.19,-0.06,-0.06,-0.34,0.03,-0.15,0.22,0.1,0.05,0.18,0.24,0.27,-0.04
"gspG",0.05,0.14,0.06,0.19,-0.16,0.14,-0.23,0.32,-0.23,-0.13,0.1,-0.02,0.05,0.13,0.04,-0.18
"gspH",0.01,-0.26,0.17,0.21,-0.09,-0.05,-0.24,0.06,0.05,0,-0.02,0.04,0.2,0.06,-0.09,-0.06
"gspI",-0.07,-0.3,-0.18,0.19,0.06,0.05,-0.19,0.04,-0.1,-0.13,-0.1,0.03,0.27,0.27,-0.37,-0.17
"gspJ",-0.13,-0.08,0.04,-0.15,-0.11,0.02,-0.43,0.01,-0.02,-0.01,-0.11,-0.05,0.31,-0.04,0.16,0.21
"gspK",-0.09,-0.21,0,-0.05,-0.07,0.15,-0.25,0.25,-0.08,-0.19,0.06,0.16,-0.09,0.16,0.27,-0.16
"gspL",-0.2,-0.03,-0.32,0.02,0.13,-0.09,-0.51,0.24,-0.24,-0.05,-0.14,-0.23,0.25,-0.08,0.02,-0.11
"gspM",-0.18,0.17,-0.22,-0.13,0.39,0.06,0.01,0.22,-0.09,-0.18,-0.06,-0.08,0.08,-0.13,-0.05,-0.06
"gspO",-0.12,-0.28,-0.19,-0.19,-0.1,-0.1,-0.64,0.69,-0.03,0.25,0.16,0.14,-0.14,-0.03,0.01,-0.06
"bfr",-0.55,-0.92,-1.12,-0.52,0.08,0.11,0.09,-0.98,-0.06,-0.24,-0.16,-0.58,-0.11,-0.57,-0.5,-0.78
"bfd",-0.81,-0.84,-0.73,-0.12,-0.64,-0.97,-1.19,-1.29,-0.28,-0.23,-0.06,0.14,-0.02,0.04,0.11,-0.31
"chiA",-0.17,0.09,-0.08,0.35,-0.26,-0.1,-0.12,0.22,-0.14,-0.13,-0.09,0.05,0.08,0.3,0.08,0.19
"tufA",-0.17,0.15,-0.29,0.07,0,0.5,0.46,-0.43,0.28,0.77,0.88,0.98,-0.05,-0.22,-0.25,0.02
"fusA",0.04,0.62,0.52,0.05,0.42,0.65,0.82,0.5,0.55,0.53,0.69,0.24,0.02,0.07,0.35,0.18
"rpsG",0.41,0.4,0.35,0.12,0.19,0.96,0.68,-0.42,0.47,0.44,0.37,0.18,-0.08,0.08,0.55,0.09
"rpsL",0.61,0.44,0.11,0,0.52,0.64,0.74,0.24,0.83,0.77,0.51,0.64,0.02,-0.21,0.22,0.12
"tusB",0.79,0.57,0.45,0.12,0.69,1.16,0.85,0.31,0.64,0.88,0.76,0.4,-0.17,-0.09,0.12,-0.09
"tusC",0.41,0.59,0.4,0.15,0.1,0.62,0.3,-0.25,0.12,0.38,0.4,0.51,-0.2,0.26,0.2,0.04
"tusD",0.2,0.48,0.49,0.09,0.38,0.23,0.76,0.57,0.34,0.38,0.59,0.35,-0.19,-0.08,0.24,0.02
"yheO",0.63,0.53,0.77,0.25,0,0.86,0.45,-0.81,0.09,0.31,0.56,0.46,-0.16,0.45,0.34,0.29
"fkpA",0.22,0.53,0.72,0.33,0.25,0.35,0.67,-0.25,0.47,0.53,0.51,0.35,0.38,0.42,0.17,0.13
"slyX",0.34,0.95,0.62,0.59,0.02,0.36,0.98,0.84,0.67,0.74,0.54,0.27,0.47,0.09,0.22,-0.17
"kefB",0.4,0.76,0.79,0.6,0.33,0.51,0.66,0.51,0.11,0.46,0.17,0.06,-0.25,-0.34,-0.08,-0.17
"kefG",0.56,0.55,0.7,0.34,0.61,0.65,0.62,0,0.34,0.32,0.25,0.5,0.04,-0.15,0.06,-0.1
"yheS",0.59,0.78,0.77,0.71,0.18,0.5,0.74,0.17,0.81,1,0.73,0.46,0.13,0.11,0.25,0.31
"yheT",0.59,0.7,0.69,0.53,0.14,1,0.89,-0.22,0.99,1.09,0.86,0.65,0.04,0.21,-0.09,0.08
"yheU",0.74,0.67,0.6,0.18,0.22,0.67,1.13,0.37,0.77,0.97,0.66,0.69,-0.09,-0.11,0.2,-0.11
"prkB",0.28,0.43,0.73,0.48,0.02,0.75,0.6,0.24,0.39,0.64,0.58,0.56,0.01,0,0.21,-0.06
"yhfA",0.42,0.62,0.9,0.58,0.02,-0.07,0.46,0.18,0.13,0.08,0.21,0.12,-0.26,-0.38,-0.08,-0.38
"crp",0.25,0.74,0.62,0.82,1.27,0.18,1.3,0.57,0.65,0.31,0.28,0.35,0.43,-0.02,0.64,0.27
"yhfK",0.52,0.52,0.54,0.27,-0.22,0.45,-0.19,-0.4,0.19,0.15,0.24,0.25,0.28,0.17,0.4,0.34
"argD",-1.03,-0.97,-1.18,-1.03,-0.22,-1.11,-1.86,-1.51,-0.14,-0.11,0.85,1.35,-0.18,0.46,0.31,0.24
"pabA",0.3,-0.24,-0.1,0.05,-0.06,0.16,0.25,-0.35,0.11,0.14,0.26,0.42,0.15,-0.04,0,-0.27
"fic",0.18,-0.86,-0.59,-0.19,0.21,0.18,-0.12,-0.37,0.38,0.37,0.2,0.11,-0.06,0.01,0.89,0
"yhfG",0.78,-0.12,-0.28,0.55,0,0.03,0.17,0.72,0.14,-0.03,-0.15,-0.13,-0.16,-0.14,0.03,-0.1
"ppiA",-0.16,-0.29,-0.82,-0.66,-0.29,-0.86,-0.65,-0.86,0.35,0.24,0.34,0.27,-0.28,0,-0.12,-0.03
"tsgA",0.68,0.23,0.02,0.04,-0.33,0.3,0.69,-0.37,-0.26,-0.29,-0.19,-0.01,0.2,0.31,0.51,-0.01
"nirB",0.24,0.32,0.16,0.04,-0.49,-0.31,-0.53,-0.3,-0.35,-0.09,-0.16,-0.24,0.27,-0.06,-0.03,-0.24
"nirD",0.14,-0.16,-0.07,-0.08,-0.21,-0.36,-0.11,0.19,0.35,-0.16,-0.29,-0.28,-0.12,-0.29,-0.09,-0.24
"nirC",0.01,0.01,-0.2,0.15,-0.08,-0.32,-0.37,-0.45,0.07,-0.72,-0.14,0.29,-0.28,-0.01,-0.25,-0.14
"cysG",-0.59,-0.46,-0.55,-0.11,0.12,-0.06,-0.54,0.1,-0.53,-0.51,-0.41,-0.35,-0.38,-0.04,-0.34,-0.27
"yhfL",0.22,-0.2,-0.13,0.17,-0.01,-0.08,0.03,0.14,0.06,-0.05,-0.02,0.1,0,1.09,-0.11,0.33
"frlA",0.08,-0.16,0.2,0.35,0.13,0.22,0.06,0.25,-0.15,-0.3,0.02,-0.05,-0.04,-0.04,-0.21,0.17
"frlB",0.05,0.07,-0.03,0.25,-0.2,0.06,-0.13,-0.04,-0.01,0.06,0.1,0.16,0.16,0.07,0.14,0.11
"frlD",-0.38,0.41,-0.08,-0.14,0.23,-0.07,-0.3,0.29,-0.32,-0.38,-0.33,-0.14,0.13,-0.27,-0.02,-0.25
"frlR",-0.05,-0.22,-0.21,-0.02,-0.6,-0.75,-0.91,-0.72,-0.24,-0.32,-0.39,-0.11,0.37,0.32,0.4,0.02
"yhfS",-0.11,0.04,-0.02,0.22,0.17,-0.11,-0.08,0.34,0.03,-0.08,0.22,-0.14,0.17,-0.08,0.05,-0.07
"yhfT",-0.31,-0.23,0.01,-0.08,0.04,-0.32,-0.38,-0.12,-0.06,-0.22,-0.11,-0.09,0.1,0.22,0.23,0
"yhfU",0.12,0.28,0.19,0.23,-0.18,0.08,0.42,0.43,-0.03,-0.05,-0.07,0.08,0.48,0.09,-0.28,-0.25
"php",-0.09,-0.22,-0.43,0.15,-0.12,0.1,-0.1,0.28,0.03,0.09,-0.13,-0.04,-0.12,0.07,-0.28,0
"yhfW",-0.29,0.28,0.02,-0.04,0.17,-0.17,0.2,0.39,-0.2,-0.17,-0.03,-0.15,0.13,0.02,-0.1,-0.28
"yhfY",-0.07,0.12,-0.32,0.15,0.35,-0.08,0.01,0.56,-0.15,0.02,0.03,-0.15,0.29,-0.08,0.31,0.08
"yhfZ",-0.51,-0.4,-0.5,-0.26,-0.3,-0.64,-0.3,-0.29,-0.3,-0.16,-0.06,-0.25,0.08,0.37,0.19,0.37
"trpS",0.45,0.17,-0.05,-0.33,0.27,0.62,0.33,-0.29,0.32,0.48,0.63,0.25,-0.19,-0.47,-0.52,-0.09
"gph",1.03,0.18,0.56,-0.16,0.49,0.85,0.74,0.03,0.37,0.55,0.66,0.57,0.02,0,0.01,-0.11
"rpe",1.03,0.59,0.66,-0.33,0.71,0.83,1.02,0.58,0.52,0.34,0.2,-0.39,-0.69,-0.57,-0.51,-0.41
"dam",0.72,0.17,0.37,-0.03,-0.02,0.64,0.27,-0.35,0.27,0.49,0.61,0.71,-0.09,0.32,0.35,-0.02
"damX",0.51,0.43,0.63,0.18,0.12,0.15,0.38,0.08,0.37,0.51,0.51,0.5,-0.07,0.2,0.37,0.03
"aroB",0.33,0.34,0.22,0.26,0.17,0.31,0.38,0.25,0.27,0.48,0.39,0.42,-0.38,-0.16,0.22,-0.24
"aroK",0.61,0.74,0.69,0.27,-0.09,-0.02,0.11,0.09,-0.03,-0.12,0.11,0.17,-0.19,-0.11,-0.46,-0.34
"hofQ",0.07,0.14,0.19,0.15,0.18,0.02,-0.32,0.53,-0.26,0.1,0.14,0.29,0.31,0.15,-0.22,-0.08
"hofP",0.49,0.07,0.01,0.33,0.02,-0.12,0.28,0.76,0.07,-0.2,0.03,-0.09,0.3,0.3,0.19,0.12
"hofO",0.3,0.25,0.05,0.26,0.18,-0.28,0.36,0.24,-0.02,0,-0.01,0.04,0.26,0.11,0.23,0.01
"hofN",0.19,0.23,0.46,0.29,-0.03,-0.01,0.05,0.38,-0.26,-0.12,0.02,0.16,0.22,0.04,0.15,0.43
"hofM",0.24,0.39,0.49,0.75,0.52,0.14,0.46,-0.02,0.23,0.14,0.09,0.18,0.16,0.22,0.38,0.1
"mrcA",0.78,-0.09,0.56,0.24,-0.13,0.1,0.22,-0.81,0,0.11,0.18,0.24,-0.03,0.28,0.05,0.02
"nudE",0.35,0.17,0.37,-0.06,0.46,0.33,0.42,0.06,0.21,0.11,0.17,-0.04,0.2,-0.04,0.11,0.23
"igaA",-0.04,0.48,0.51,0.01,-0.31,0.16,0.06,0.03,-0.16,0.28,0.4,0.31,-0.23,-0.24,-0.22,-0.01
"yrfG",0.41,-0.04,0.06,-0.28,0.28,0.42,0.28,-0.22,0.21,0.34,0.14,0.48,-0.02,-0.21,-0.31,-0.3
"hslR",0.37,-0.3,-0.21,0.01,1.07,1.48,0.65,-0.3,0.85,1.31,0.56,0.69,0.02,-0.06,-0.74,-0.12
"hslO",0.77,-0.35,-0.37,-0.29,0.88,1,0.68,0.32,0.95,0.95,0.55,0.22,-0.32,-0.04,-0.12,-0.31
"yhgE",0.32,0.22,0.17,0.06,0.08,0.56,0.23,-0.07,0.16,0.18,0.03,0.32,-0.14,-0.09,-0.07,0.06
"pck",0.96,0.86,0.94,0.18,0.34,0.56,0.64,0.03,0.48,0.61,0.61,0.55,-0.05,0.19,-0.05,-0.09
"envZ",0.65,0.33,0.38,-0.11,0.22,0.74,0.54,0.68,-0.02,0.06,0.08,0.04,0.33,0.24,0.08,0.01
"ompR",0.62,0.33,0.22,0.05,0.22,0.41,1.04,0.35,0.13,0.36,0.02,-0.16,-0.08,0.01,0.16,0.19
"greB",-0.25,0.31,0.2,0.1,0.11,0.1,0.25,0.42,-0.27,-0.24,-0.53,-0.3,-0.38,-0.61,-0.57,0
"yhgF",-0.44,-0.6,-0.46,-0.26,-0.25,-0.38,-0.37,-0.76,-0.72,-0.8,-0.75,-0.33,0.49,0.11,-0.27,-0.14
"feoA",-0.66,-0.16,-0.9,-0.05,-2.12,-1.25,-2.68,-0.46,-0.35,-0.34,-0.26,-0.21,-0.21,-0.16,-0.09,0.11
"feoB",-0.2,-0.62,-0.55,-0.32,-2.3,-1.52,-2.39,-1.48,-0.35,-0.24,-0.08,0.1,0.06,0.06,-0.01,-0.33
"feoC",-0.61,-0.23,-0.46,0.25,0.13,-0.06,-0.56,0.4,-0.49,-0.23,-0.36,-0.41,0.05,-0.23,-0.16,-0.22
"rpnA",-0.04,-0.09,-0.07,0.01,-0.23,0.05,-0.26,-0.36,0.08,0.03,0.11,0.17,0.04,0.22,0.19,0.05
"bioH",-0.28,0.03,-0.04,-0.19,-0.08,-0.58,-0.63,0.14,-0.52,-0.54,-0.23,0.43,0.01,-0.14,-0.31,-0.51
"yhgH",0.01,0.18,0.18,-0.07,0.14,0.28,0.53,0.05,-0.16,0.02,-0.02,0.03,-0.17,-0.11,-0.02,-0.08
"nfuA",-0.06,0,0.45,-0.26,1.07,0.6,1.42,-0.81,-0.24,0.12,0.24,0.58,-0.12,0.14,0.27,0.29
"gntT",-0.66,-0.22,-0.7,-0.27,-0.05,-0.09,-0.62,0.25,-0.44,-0.58,-0.29,-0.35,0.14,-0.06,-0.15,-0.1
"malQ",-1,-1.39,-1.15,-0.84,0.1,-0.85,-0.84,-0.68,-0.23,-0.56,-0.91,-0.83,0.05,-0.35,-0.23,-0.1
"malP",-1.31,-2.02,-2.04,-1.4,-0.6,-1.25,-0.99,-1.67,-0.22,-0.22,-0.59,-0.6,0.3,-0.01,0.11,0.08
"malT",-2.09,-2.27,-1.9,-1.66,-1.73,-1.47,-2.45,-1.05,-1.41,-1.65,-2.03,-1.61,-0.08,-0.33,-0.18,-0.28
"rtcB",-0.55,-0.18,-0.66,-0.13,0.31,-0.13,0.03,0.16,0,-0.02,-0.1,-0.21,0.12,-0.17,0.09,-0.14
"rtcR",-0.08,-0.05,0.25,0.12,-0.4,0.16,-0.23,-0.04,-0.17,-0.17,0.03,-0.07,0.34,-0.01,-0.27,-0.04
"glpR",-0.4,-0.59,-0.65,0.04,-0.79,-0.33,-0.8,-0.7,-0.82,-0.73,-0.08,0.25,-0.78,-0.51,-0.42,-0.65
"glpG",-0.02,-0.44,-0.26,-0.04,-0.94,-0.69,-0.71,-0.31,0.13,0.11,0.24,0.13,-0.17,0.17,-0.05,0.02
"glpE",-0.26,-0.29,-0.47,-0.19,-0.47,-1.21,-0.53,-0.61,-0.51,-0.58,0,-0.03,-0.26,-0.03,-0.09,-0.2
"yzgL",0.09,-0.07,-0.28,0.24,0.09,1.1,-0.9,-0.14,0.22,0.37,0.15,0,0.05,0.04,0.16,0.33
"glgP",-0.22,-0.57,-0.56,-0.78,-0.08,0.19,0.31,-0.23,-0.11,0.17,-0.81,0.05,-0.22,-0.03,0.76,0.15
"glgA",-0.02,-1.13,-0.5,-0.7,0.12,0.44,0.17,-0.86,0.16,-0.28,-0.63,-0.65,-0.42,0.14,-0.08,-0.25
"glgC",-0.78,-0.67,-1.1,-1,0.25,0.45,0.27,-0.04,-0.18,-0.3,-0.91,-0.89,-0.34,-0.23,-0.37,-0.18
"glgX",-0.15,-0.68,-0.06,-0.42,0.32,0.43,0.32,-1.17,0.05,-0.45,-0.51,-0.54,0.17,0.32,-0.03,0.05
"glgB",-0.36,-0.57,-0.63,-0.14,0.46,0.72,0.21,-0.33,-0.68,-0.54,-0.9,-0.48,-0.07,-0.11,0.09,0.12
"asd",-0.2,-0.06,-0.09,-0.15,0.26,0.02,-0.03,-0.61,-0.73,-1.08,-1.24,-1.41,-0.17,-0.21,-0.13,-0.42
"yhgN",0.86,0.67,0.64,0.14,0.16,0.57,0.95,0.46,0.1,-0.02,-0.07,-0.17,0,-0.08,-0.25,-0.18
"gntK",0.27,0.04,0.15,0.17,0.1,0.42,0.6,0.5,-0.08,0.11,-0.11,-0.2,0.08,0.2,0.24,-0.03
"gntR",0.94,1.11,0.89,0.62,0.57,1.23,0.94,0.68,0.78,0.98,1.1,1.08,-0.09,0.12,-0.02,0.52
"yhhW",0.12,0.1,0.04,0.04,-0.11,0.13,0.39,0.12,-0.09,-0.38,-0.39,-0.18,0.2,0.04,0.01,0.01
