"","0","0 | 1","0 | 2","0 | 3","0 | 4","21600","21600 | 1","21600 | 2","21600 | 3","21600 | 4"
"uspC",4.1572,3.8468,3.8805,4.4667,4.4151,4.1253,4.3655,4.1918,4.2038,4.44
"frdD",4.9283,5.0829,4.3376,5.0639,4.7544,4.9837,5.0683,4.9052,5.2286,4.9251
"ycjV",0.3871,0.4008,0.4037,0.3904,0.4046,0.3852,0.3584,0.3999,0.4809,0.3583
"yhhY",0.7692,0.8332,0.8248,0.7009,0.7646,0.8688,0.667,0.8168,0.6711,0.6458
"nuoN",4.7525,4.9397,4.4071,4.6091,4.7418,5.011,5.037,4.776,5.0158,5.0457
"mppA",4.0241,3.8409,3.8427,4.2401,4.2233,3.7587,4.1759,3.9251,4.2293,4.1874
"ppsA",6.4929,6.4801,6.9043,6.3885,6.4587,6.5274,6.5024,6.5782,6.3835,6.5024
"dppF",2.6477,2.764,4.1009,2.9989,2.5414,2.757,2.7121,2.7875,2.8259,2.8091
"epmA",2.4539,2.8431,2.722,2.3821,2.379,2.8728,2.2246,2.6006,2.2968,2.3102
"hisG",6.4451,6.4451,6.9129,5.6048,6.0204,6.3256,6.3077,6.3212,6.2793,6.2249
"yjgM",2.3052,2.6792,2.8091,3.2109,2.8721,3.1103,2.141,2.8134,2.287,2.3482
"srlR",3.0464,2.9311,2.8003,3.2222,3.1151,3.081,3.4207,3.0743,3.0554,3.5403
"deoA",3.4474,3.3847,4.3744,4.2233,3.5952,3.7211,3.5275,3.6724,3.6482,3.6093
"tatC",4.8895,4.7812,4.6266,4.4799,4.6952,4.5251,4.7137,4.5694,4.6796,4.6759
"viaA",2.353,2.4077,2.5225,2.4523,2.4515,2.3173,2.3896,2.5209,2.5159,2.4548
"yedD",4.0915,4.5556,4.8332,4.4483,4.3251,5.0409,4.0344,4.6871,3.8409,4.169
"tehA",2.0614,2.3013,2.3841,2.2619,2.2415,2.287,2.078,2.2597,2.0303,1.997
"mlc",4.2221,3.9654,4.3331,4.4374,4.5343,4.2526,4.5242,4.5273,4.384,4.4677
